KIT ID Number,Borough,Zipcode,Date Collected,Received Date,First Draw at-the-tap Lead level (µg/l),First Draw at-the-tap copper level (mg/l)
15123481,SAINT ALBANS,11412,6/5/15,6/9/15,40,0.262
15123346,STATEN ISLAND,10308,6/5/15,6/9/15,2,0.184
15123257,BRONX,10457,6/5/15,6/16/15,4,0.102
15123344,FAR ROCKAWAY,11691,6/5/15,6/11/15,2,0.176
15123356,STATEN ISLAND,10308,6/5/15,6/10/15,0,0.083
15123520,STATEN ISLAND,10312,6/5/15,6/9/15,31,0.074
15123230,JAMAICA,11433,6/5/15,6/9/15,0,0.198
15123243,JAMAICA,11432,6/5/15,6/9/15,1,0.099
15123253,BROOKLYN,11212,6/5/15,6/9/15,7,0.206
15123265,BRONX,10461,6/5/15,6/10/15,4,0.145
15123267,RICHMOND HILL,11418,6/5/15,6/9/15,2,0.009
15123283,BROOKLYN,11204,6/5/15,6/9/15,10,0.229
15123355,STATEN ISLAND,10304,6/5/15,6/9/15,1,0.163
15123359,STATEN ISLAND,10312,6/5/15,6/9/15,24,0.12
15123379,STATEN ISLAND,10306,6/5/15,6/9/15,0,0.155
15123311,BELLEROSE,11426,6/5/15,6/9/15,2,0.116
15123276,STATEN ISLAND,10301,6/5/15,6/9/15,12,0.122
15123475,BROOKLYN,11213,6/5/15,6/12/15,2,0.232
15123246,OZONE PARK,11417,6/5/15,6/9/15,2,0.133
15123524,NEW YORK,10018,6/5/15,6/9/15,5,0.194
15123456,WOODSIDE,11377,6/5/15,6/9/15,6,0.125
15123409,ASTORIA,11105,6/5/15,6/9/15,11,0.134
15123236,JAMAICA,11434,6/5/15,6/9/15,1,0.12
15123467,NEW YORK,10128,6/5/15,6/9/15,5,0.094
15123464,BROOKLYN,11217,6/5/15,6/10/15,0,0.048
15123419,STATEN ISLAND,10309,6/5/15,6/9/15,3,0.163
15123435,BROOKLYN,11224,6/5/15,6/9/15,6,0.206
15123339,WHITESTONE,11357,6/5/15,6/9/15,12,0.121
15123490,BROOKLYN,11204,6/5/15,6/10/15,8,0.119
15123357,STATEN ISLAND,10306,6/5/15,6/9/15,2,0.158
15123374,STATEN ISLAND,10308,6/5/15,6/9/15,1,0.133
15123221,BAYSIDE,11361,6/5/15,6/9/15,2,0.169
15123537,STATEN ISLAND,10309,6/5/15,6/12/15,70,0.779
15123372,STATEN ISLAND,10309,6/5/15,6/9/15,2,0.147
15123545,BRONX,10463,6/5/15,6/9/15,4,0.054
15123365,STATEN ISLAND,10303,6/5/15,6/9/15,15,0.193
15123476,BROOKLYN,11208,6/5/15,6/9/15,0,0.136
15123549,SOUTH RICHMOND HILL,11419,6/5/15,6/9/15,0,0.141
15123225,BROOKLYN,11224,6/6/15,6/9/15,0,0.09
15123285,FLUSHING,11358,6/6/15,6/9/15,6,0.135
15123434,WOODHAVEN,11421,6/6/15,6/11/15,0,0.081
